otar_id,name,status,Decyzja,description_500,znaki,Uwagii WB,Uwagi Gosi,Uwagi Przemek
K01.30.10.GMWHLZ,Zamek w Smolcu,ok,,"Dwór obronny w Smolcu istniał już w XIVXV wieku, początkowo zapewne jako wieża mieszkalna z towarzyszącą zabudową i umocnieniami. W 1523 roku został przebudowany na zamek dla rodziny Saurma-Ultschmanów, a w XVIII wieku rozbudowany o kolejne skrzydła i ścianę parawanową. W latach 1850-1855 założenie zmodernizowano w stylu neogotyckim dla rodziny von Wallenberg-Pachaly. Zamek został zniszczony w 1945 roku i nie został odbudowany.",431,,według mnie state poor lub bad,troche ścian jest fair pasuje
K01.30.20.AU3PSF,Wieża w Pastuchowie,ok,,"Wieża w Pastuchowie to zabytkowa wieża mieszkalno-obronna z przełomu XV i XVI wieku, otoczona później renesansowym dworem. Obiekt przebudowano w XVIII i XIX wieku, a po wojnie był użytkowany gospodarczo. Zachowały się m.in. gotyckie obramowania okien i dekoracje sufitowe.",272,,,
K01.30.20.W4HVPQ,Dwór obronny w Jastrzębcach,ok,,"Dwór obronny w Jastrzębcach wzniesiono w XVI w. jako renesansową siedzibę szlachecką o funkcjach mieszkalnych i obronnych. Murowany obiekt miał zwartą bryłę, grube mury i układ dostosowany do potrzeb niewielkiej fortalicji. W kolejnych stuleciach był przebudowywany i tracił część pierwotnych cech obronnych. Obecnie zachował się jako zabytkowy budynek dawnego założenia dworskiego.",382,,,
K01.30.10.WWU8MQ,Zamek w Wieruszowie,ok,,"Zamek w Wieruszowie powstał prawdopodobnie w XIV wieku jako gotycka warownia rodu Wieruszów. W XVI wieku w jego miejscu wzniesiono renesansową rezydencję, a po kolejnych zniszczeniach zamek ostatecznie rozebrano w XX wieku. Dziś zachowały się jedynie relikty fundamentów i fosy.",278,,,
K01.30.20.M7AQUH,Dwór obronny w Żukowie,ok,,"Renesansowy dwór obronny typu palais-donjon wzniesiony około 1550 r. z inicjatywy Walentego Podlodowskiego na miejscu średniowiecznego, stożkowatego gródka rycerskiego należącego pierwotnie do rodu Łabędziów; położony w Żukowie. Do dnia dzisiejszego przetrwał ziemny kopiec z zachowanymi dwiema sklepionymi piwnicami o sklepieniach belkowych oraz resztki fosy przekształconej w stawy; obiekt w formie trwałej ruiny, wpisany do rejestru zabytków.",445,,nie widzę,jest ale niewiele
K01.30.10.9N9AAY,Zamek w Namysłowie,ok,,"Gotycki zamek w Namysłowie to ciekawy przykład średniowiecznej warowni miejskiej, która od stuleci jest nierozerwalnie połączona z tradycjami lokalnego piwowarstwa. Pierwsze wzmianki o drewnianym grodzie pochodzą z 1312 roku, jednak murowany zamek bezwieżowy wzniósł około 1360 roku król czeski Karol IV Luksemburski. Warownia została ściśle sprzężona z murami obronnymi miasta. W 1533 roku obiekt przejęła we władanie Rada Miejska Wrocławia, która dobudowała skrzydło zachodnie i budynek bramny.",496,,,
K01.20.10.DMLRD1,Pałac w Rokosowie,ok,,"Pałac w Rokosowie (Zamkk w Rokosowie) wzniesiono w latach 1849–1854 jako neogotycką rezydencję rodu Mycielskich według projektu Friedricha Augusta Stülera. Budowla ma regularną, monumentalną bryłę z narożnymi wieżami, krenelażem i detalem inspirowanym architekturą średniowieczną, a całość otacza park krajobrazowy. Po 1945 r. obiekt pełnił różne funkcje. Obecnie jest odrestaurowany i mieści ośrodek konferencyjno-szkoleniowy.",427,ośrodek konferencyjne,,wg strony można zwiedzać
K01.20.10.D4BZ24,Pałac w Pomarzanowicach,ok,,"Pałac w Pomarzanowicach wzniesiono w XVIII w. jako barokową rezydencję szlachecką, na miejscu dawnego dworu obronnego. Budowla miała regularną, reprezentacyjną bryłę i była otoczona założeniem parkowym. W kolejnych stuleciach pałac przebudowywano i dostosowywano do nowych funkcji, zacierając część pierwotnych cech stylowych. Obecnie obiekt jest zachowany jako element zabytkowego zespołu rezydencjonalnego.",408,,sprawdzić opis,
K01.30.10.61LS98,Zamek w Kurzętniku,ok,,"Zamek w Kurzętniku wzniesiono w XIV w. jako gotycką warownię kapituły chełmińskiej. Założenie obejmowało zamek górny i przedzamcze, mury obronne, dziedziniec oraz zabudowę mieszkalno-gospodarczą, dostosowaną do stromego wzgórza. W kolejnych stuleciach obiekt tracił znaczenie i stopniowo popadał w ruinę. Obecnie zachowały się relikty murów i fundamentów dawnej warowni, udostępnione jako stanowisko historyczne.",412,,,
K01.30.10.V7XMJ8,Zamek w Węgorzewie,ok,,"Zamek w Węgorzewie wzniesiono w XIV w. jako gotycką warownię krzyżacką i siedzibę urzędników zakonnych. Założenie miało regularny układ z dziedzińcem, skrzydłami mieszkalnymi i gospodarczymi oraz elementami obronnymi. W kolejnych stuleciach zamek wielokrotnie przebudowywano, zatracając część średniowiecznych cech. Obecnie jest zachowany i użytkowany jako obiekt zabytkowy.",374,,,
K01.30.10.F1YEJG,Zamek krzyżacki w Pasłęku,ok,,"Murowana warownia wzniesiona przez Krzyżaków w XIV w. na miejscu wcześniejszego grodu pruskiego, wykorzystująca obronne położenie wzgórza o stromych stokach; zintegrowany z miastem, lecz oddzielony dodatkowymi umocnieniami i fosą. Początkowo niewielki, z jednym skrzydłem i dwiema wieżami.",289,,,
K01.30.10.6KZDZL,Zamek w Sulechowie,ok,,"Zamek Książęcy w Sulechowie wzniesiono w średniowieczu jako siedzibę książęcą i element miejskiego systemu obronnego. W kolejnych stuleciach był wielokrotnie przebudowywany, tracąc stopniowo pierwotne cechy warowne na rzecz funkcji rezydencjonalnych i administracyjnych. Obecnie zachowane fragmenty dawnego zamku są włączone w zabudowę miasta i stanowią relikt średniowiecznego założenia obronnego.",398,,sprawdzić lokalizacje,jest ok
K01.30.10.NHZNLG,Wieża Głodowa w Przewozie,ok,,"Ruiny zamku książęcego w Przewozie to pozostałość po XIII-wiecznej warowni granicznej, która strzegła strategicznej przeprawy przez Nysę Łużycką na szlaku handlowym z Żar do Saksonii. Choć sam zamek został zniszczony podczas wojny trzydziestoletniej i rozebrany w XVIII wieku, do dziś przetrwał jego najpotężniejszy element  monumentalna Wieża Głodowa.",352,,state chyba raczej poor,zostaje fair
K01.20.10.4B299N,Pałac w Świninie,ok,,"Zabytkowy pałac w Świninie (dolnośląskie) z XVIII w., wzniesiony w miejscu dawnej budowli renesansowej. Wyróżnia go dach mansardowy i asymetryczny ryzalit z balkonem. Otoczony zabytkowym parkiem oraz folwarkiem. Obiekt nie jest udostępniony do zwiedzania, bryłę można podziwiać z zewnątrz.",289,,state na fair,zmiana na good
K01.20.10.W69M4G,Pałac w Sieroszowie,ok,,"Pałac w Sieroszowie powstał na początku XVIII wieku jako letnia rezydencja opatów z Henrykowa. Wzniesiono go w latach 1703-1710 w stylu barokowym, prawdopodobnie według projektu M. Kirchbergera. Wcześniej w tym miejscu znajdował się średniowieczny zamek, który po zniszczeniu został zastąpiony pałacem. Po sekularyzacji zakonów majątek przeszedł w ręce prywatne, a następnie po II wojnie światowej został przejęty przez państwo i użytkowany przez PGR.",451,,,
K01.30.10.KWCX7A,Zamek w Goli Dzierżoniowskiej,ok,,"Zamek w Goli Dzierżoniowskiej wzniesiono w XVI w. jako renesansową rezydencję o cechach obronnych. Założenie obejmowało murowany korpus mieszkalny, dziedziniec, wieżę oraz elementy fortyfikacyjne, a w kolejnych stuleciach było przebudowywane. Obiekt stopniowo tracił pierwotne funkcje i ulegał degradacji. Budynek został odremontowany i znajduje się tak hotel i SPA.",366,hotel,to jest hotel czyli limited,hotel to partial - uwzględnione
K01.30.10.GCNB49,Zamek w Warcie Bolesławieckiej,ok,,"Zamek w Warcie Bolesławieckiej wzniesiono w XVI w. jako renesansową rezydencję o cechach obronnych. Założenie obejmowało wieloskrzydłową zabudowę skupioną wokół dziedzińca, wieżę oraz elementy systemu obronnego. W kolejnych stuleciach obiekt był przebudowywany i stopniowo tracił pierwotny charakter. Obecnie zachowały się fragmenty dawnej zabudowy zamkowej, częściowo przekształcone i użytkowane.",397,,,
K01.30.10.MWSSXG,Zamek Szczuków w Szczuczynie,ok,,"Pozostałości dawnej rezydencji Szczuków w Szczuczynie to XVI/XVII-wieczny zabytek, z którego do czasów współczesnych przetrwały jedynie fragmenty murów.",152,,,
K01.30.10.JNXWPV,Zamek Golesz,ok,,"Zamek Golesz w Krajowicach wzniesiono prawdopodobnie po 1420 r. na miejscu wcześniejszego grodu, jako murowaną siedzibę zarządcy dóbr opactwa tynieckiego. Założenie obejmowało obwód murów z piaskowca, dziedziniec, dom zamkowy, bramę oraz basztę; starszym elementem była wolnostojąca okrągła wieża. Zamek zniszczono prawdopodobnie w 1657 r. Obecnie zachowały się ruiny murów i fundamentów na terenie rezerwatu „Golesz”.",418,,,
K01.20.10.A3DQ5M,Pałac w Birczy,ok,,"Choć pierwsze źródłowe wzmianki o Birczy pochodzą z pierwszej połowy XVIII wieku, przypuszcza się, że już w XVI wieku istniał tu obronny dwór bastionowy należący do rodu Bireckich. Budowla pełniła funkcję strażnicy przy szlaku handlowym prowadzącym z Przemyśla na Węgry. W XIX i XX wieku obiekt został gruntownie przebudowany, zmieniając swój pierwotny wygląd. Po remoncie przeprowadzonym w 1970 roku zaadaptowano go na internat.",429,,,
K01.20.10.CX352S,Pałac w Wolinii,ok,,"Pałac w Wolinii powstał na miejscu dawnego grodziska. Jego początki sięgają XV w. W II połowie XVIII w. pałac gruntownie przebudowano, a w XIX w. rozwinęli go Puttkamerowie. Barokowa budowla składała się z korpusu i dwóch symetrycznych skrzydeł z rokokowymi szczytami. Obecnie zachowały się skrzydła północne i wschodnie, fragment zachodniego, park z cennym starodrzewem oraz ruiny neogotyckiego grobowca.",405,,,
K01.30.10.GQBM4Z,Zamek w Bodzentynie,ok,,"Zamek w Bodzentynie to ruiny dawnej rezydencji biskupów krakowskich, których murowaną formę wzniesiono w II połowie XIV wieku z inicjatywy biskupa Floriana z Mokrska. Wcześniej w tym samym miejscu znajdował się drewniany dwór biskupa Bodzanty, jednak to nowa warownia stała się ważnym ośrodkiem, w którym 19 czerwca 1410 roku król Władysław Jagiełło przez dwa dni przyjmował posłów pomorskich.",393,,,
K01.20.10.YZ976J,Pałac Habsburgów w Żywcu,ok,,"Pałac Habsburgów w Żywcu, nazywany Nowym Zamkiem, powstał w latach 1871 - 1885 według projektu Karola Pietschki, z inicjatywy arcyksięcia Albrechta. Wzniesiono go w miejscu dawnych oficyn zamku Wielopolskich, z których do dziś zachował się jeden budynek. Rezydencja była kilkukrotnie rozbudowywana, zyskując nowe skrzydła oraz reprezentacyjne wnętrza. Klasycystyczny pałac przez lata pełnił funkcję siedziby rodu Habsburgów, a po II wojnie światowej mieściła się tu szkoła.",473,,sprawdzić lokalizacje,
K01.30.10.Q54KCP,Zamek w Koziegłowach,ok,,"Zamek w Koziegłowach wzniesiono w XIV w. jako gotycką warownię rycerską. Założenie obejmowało murowany obwód obronny, dziedziniec, zabudowę mieszkalną i wieżę, a jego układ dostosowano do lokalnych warunków terenowych. W kolejnych stuleciach zamek tracił znaczenie i został stopniowo rozebrany. Obecnie zachowały się jedynie relikty murów i fundamentów dawnej warowni.",368,,,
K01.30.20.B94V32,Dwór obronny w Rzemieniu,ok,,"Dwór obronny w Rzemieniu (często nazywany zamkiem książęcym) to jeden z najciekawszych i najlepiej zachowanych przykładów średniowieczno-nowożytnej prywatnej architektury obronnej w regionie Podkarpacia. Usytuowany w widłach Wisłoki, w dawnych podmokłych rozlewiskach, stanowił nieliczny przykład murowanej warowni wzniesionej na terenie Puszczy Sandomierskiej.",361,,"Dwór jest własnością prywatną, jednak właściciele udostępniają go po wcześniejszym uzgodnieniu",zostawiam limited 
K01.30.20.KA6GTR,Dwór obronny w Długiem,ok,,"Dwór wzniesiono w I połowie XVI w. dla rodziny von Warkotsch jako murowaną siedzibę o cechach obronnych. Założony na planie prostokąta, zbudowany z kamienia polnego, jest podpiwniczony, dwukondygnacyjny i nakryty dachem czterospadowym; elewację zachodnią wyróżnia ryzalit z wejściem głównym. W XIX–XX w. wnętrza wielokrotnie przekształcano, zacierając pierwotny układ. Obecnie dwór pozostaje własnością prywatną.",412,,,
K01.30.20.8VQBWU,Wieża rycerska w Chomętowie,ok,,"Wieża rycerska będąca pozostałościami dworu obronnego, przebudowana na spichlerz, który wchodzi obecnie w skład zespołu dworsko - folwarcznego w Chomętowie. ",157,,,
K01.30.20.6F98QG,Dwór obronny w Ślęzie,ok,,"Dwór w Ślęzie wzniesiono w XVI w. jako renesansową siedzibę o funkcjach mieszkalnych i obronnych. Murowany obiekt ma zwartą bryłę, grube mury oraz zachowane elementy dawnego układu rezydencjonalnego. W kolejnych stuleciach był przebudowywany i adaptowany do nowych funkcji. Obecnie dwór jest zachowany jako zabytek architektury rezydencjonalnej i pozostaje elementem historycznego zespołu majątkowego.",401,,,
K01.20.10.7UF3HZ,Pałac w Dąbrowicy,ok,,"Początki tutejszej siedziby sięgają 1189 roku, kiedy Bolesław Wysocki wzniósł w Dąbrowicy zamek. Warownia została zniszczona w 1428 roku podczas wojen husyckich. W późniejszym okresie na miejscu dawnego założenia powstał pałac będący efektem przebudowy obronnego dworu z drugiej połowy XV wieku.",295,,,
K01.30.10.73K6C4,Zamek Gryf w Proszówce,ok,,"Zamek Gryf w Proszówce powstał w średniowieczu jako warownia książęca, później wielokrotnie rozbudowywana. Założenie obejmowało zamek górny, średni i dolny, połączone systemem murów, bram i wież oraz dostosowane do stromego, skalistego wzgórza. W XVI–XVII w. obiekt przekształcano w rezydencję. Po opuszczeniu w XVIII w. popadł w ruinę. Obecnie zachowały się rozległe fragmenty murów, baszt i zabudowy.",402,,zły opis,
K01.30.10.DGGP2F,Zamek w Złotorii,ok,,"Zamek w Złotorii wzniesiono w XIV w. z inicjatywy Kazimierza Wielkiego jako gotycką warownię nad Wisłą, strzegącą ważnej przeprawy i pogranicza. Założenie obejmowało murowane skrzydła, dziedziniec, mury obronne i wieżę. W kolejnych stuleciach obiekt tracił znaczenie i ulegał zniszczeniom. Obecnie zachowały się jedynie relikty murów i fundamentów dawnego zamku.",362,,,
K01.30.10.D6ZR3K,Zamek w Szreńsku,ok,,"Zamek w Szreńsku wzniesiono w XIV–XV w. jako gotycką siedzibę rycerską, później rozbudowaną w rezydencję o cechach renesansowych. Założenie obejmowało murowane skrzydła skupione wokół dziedzińca, mury obronne, wieżę i fosę. W kolejnych stuleciach zamek tracił znaczenie i stopniowo popadał w ruinę. Obecnie zachowały się fragmenty murów, wieży i relikty zabudowy dawnego założenia.",381,,bad,już uwzględnione
K01.30.20.XWFXQ3,Dwór obronny w Kostrzy,ok,,Ruiny dworu z 1. poł. XIX w. wybudowanego na miejscu dworu obronnego z XVI w. otoczone pozostałościami fosy. Budynek znajduje się w centrum Zespołu Dworskiego. ,160,,,
K01.30.20.ZFJ8EL,Dwór obronny w Trzebieszowicach,ok,,"Ruiny renesansowego dworu z 1580 r., wzniesionego przy XIV-wiecznej wieży mieszkalno-obronnej. Po wojnie był tu zakład przetwórczy, od lat 90. XX w. budowla niszczeje.",167,,bad,uwzględnione
K01.30.10.5VPR5V,Strażnica Przewodziszowice,ok,,Strażnicę Przewodziszowice wzniesiono prawdopodobnie w XIV w. jako niewielką warownię rycerską wykorzystującą naturalne formacje skalne Jury Krakowsko-Częstochowskiej. Założenie obejmowało murowane elementy obronne posadowione na skale oraz niewielką zabudowę pomocniczą. Obiekt szybko utracił znaczenie i popadł w ruinę. Obecnie zachowały się jedynie fragmenty murów i relikty dawnej strażnicy.,395,,,
K01.30.20.TL4PJ3,Dwór obronny Wieruskich w Wieruszycach,ok,,"Dwór obronny Wieruskich w Wieruszycach to renesansowa siedziba szlachecka należąca niegdyś do rodu Wieruskich. Wzniesiono go z kamienia z niewielkim użyciem cegły na planie prostokąta; mury miejscami osiągają ok. 2 m grubości. Budowlę przykrywa czterospadowy dach gontowy, a narożną wieżę – dach stożkowy. Funkcje obronne wzmacniały fosa i położenie na wzniesieniu. Później dwór służył jako spichlerz. Obecnie jest własnością prywatną i zachował się w dobrym stanie.",466,,,
K01.30.10.36RTRD,Zamek Tenczyn,ok,,"Ruiny zamku we wsi Rudno w powiecie Krakowskim, wybudowanie zamku jest datowane na XIV wiek Zaliczany do tzw Orlich Gniazd Jury Krakowsko-Częstochowskiej. Obecnie zamek jest atrakcją turystyczną ze znakami w okolicy wskazującymi drogę do niego oraz płatnym parkingiem obok",272,,,
K01.30.10.6GHEVT,Zamek w Korfantowie,ok,,"Zamek w Korfantowie to dawna rezydencja o metryce sięgającej schyłku średniowiecza (ok. 1600 r.), wielokrotnie przebudowywana w stylach barokowym i późnoklasycystycznym. Trójskrzydłowy, murowany obiekt z wewnętrznym dziedzińcem i charakterystycznymi arkadami całkowicie utracił obronny charakter. Po gruntownym odnowieniu służy obecnie jako Opolskie Centrum Rehabilitacji.",372,,,
K01.30.20.1CWSG1,Dwór obronny w Ciecierzynie,ok,,"Relikty dworu obronnego z XVII w.  Do dziś z założenia przetrwały jedynie skryte w zaroślach fundamenty, stawy będące pozostałością dawnej fosy oraz zabytkowy park z aleją dojazdową.",182,,nie widzę,
K01.30.10.6MHNQR,Zamek w Białej,ok,,Zamek w Białej został wzniesiony najprawdopodobniej przez Piastów opolskich w XVI wieku na miejscu wcześniejszej warowni. W XVII wieku przebudowano go w stylu wczesnobarokowym i rozbudowano o kolejne skrzydła oraz wieżę. Dziś obiekt zachował renesansowo-barokowy charakter i pozostaje własnością prywatną.,305,,,
K01.30.10.C943VW,Zamek w Goraju,ok,,"Zamek w Goraju wzniesiono w XIX w. jako neorenesansową rezydencję o formach inspirowanych architekturą zamkową. Budowla ma rozczłonkowaną bryłę z wieżami, ryzalitami, wysokimi dachami i bogatym detalem historyzującym, a całość otacza park krajobrazowy. Obiekt nie pełnił funkcji militarnej, lecz reprezentacyjną i mieszkalną. Obecnie zamek jest zachowany i użytkowany jako siedziba Zespołu Szkół Leśnych.",404,,nternat Zespołu Szkół Leśnych.,partial już jest
K01.30.10.HYPPZK,Zamek kapituły pomezańskiej w Szymbarku,ok,,"Zamek w Szymbarku wzniesiono w XIV w. jako gotycką siedzibę kapituły pomezańskiej. Rozległe założenie ma plan prostokąta, z dziedzińcem, murami obronnymi i licznymi wieżami narożnymi oraz bramnymi. W XVI w. zamek przebudowano w stylu renesansowym, przystosowując go do funkcji rezydencjonalnych. Po zniszczeniach w 1945 r. popadł w ruinę. Obecnie zachowały się rozległe mury, wieże i fragmenty zabudowy.",403,,,
K01.30.20.NME8QP,Dwór obronny w Bąkowej Górze,ok,,"Ruiny zamku w Bąkowej Górze to pozostałości dawnej, późnośredniowiecznej siedziby rycerskiej. Choć obiekt często nazywany jest zamkiem, architektonicznie reprezentuje typ ufortyfikowanego dworu obronnego, malowniczo wpisanego w krajobraz wzniesienia nad doliną Pilicy. Początki murowanej budowli sięgają XV wieku. Za jej fundatora uważa się biskupa włocławskiego Zbigniewa z Oleśnicy lub ród Bąków herbu Zadora, od którego nazwiska pochodzi nazwa miejscowości.",460,,acessybity partial,uwzględnione
K01.20.10.KLKN21,Pałac w Ujeździe,ok,,"Pałac w Ujeździe został wzniesiony w 1812 roku na miejscu dawnego zamku, którego początki sięgają pierwszej połowy XV wieku. Pierwotna warownia składała się z czworoboku murów oraz budynku mieszkalnego i w XVII stuleciu została przekształcona w barokową rezydencję. Do dziś z zamku zachował się jedynie fragment gotyckiego muru o wymiarach około 12 x 3 m, odkryty podczas badań archeologicznych i włączony w frontową ścianę pałacu.",431,,,
K01.30.10.UEQV36,Zamek w Kórniku,ok,,"Zamek w Kórniku wywodzi się ze średniowiecznej siedziby rodu Górków, wielokrotnie przebudowywanej w kolejnych stuleciach. Obecną formę uzyskał głównie w XIX w. za Tytusa Działyńskiego, kiedy nadano mu romantyczny, neogotycki charakter z wieżami, krenelażem i dekoracyjnymi elewacjami. Rezydencję otacza rozległy park-arboretum. Obecnie zamek jest dobrze zachowany, mieści muzeum oraz Bibliotekę Kórnicką PAN.",408,,,
K01.30.20.2P7U6H,Wieża rycerska w Byczu,ok,,"Średniowieczna wieża rycerska (mieszkalno-obronna) z końca XV w., wzniesiona przez ród von Kupperwolff. Po licznych przebudowach obniżona, obecnie zaadaptowana na cele agroturystyczne.",184,,,
K01.30.10.8QXYEF,Zamek w Świeciu,ok,,"Zamek w Świeciu wzniesiono w XIV w. przez zakon krzyżacki jako gotycką warownię komturską. Założenie miało plan zbliżony do czworoboku, z dziedzińcem, skrzydłami mieszkalnymi, murami obronnymi i narożnymi wieżami; najbardziej charakterystyczna jest wysoka cylindryczna wieża. Po zniszczeniach i późniejszych rozbiórkach zamek częściowo popadł w ruinę. Obecnie zachowane fragmenty są zabezpieczone i udostępnione turystycznie.",425,,,
K01.30.10.KJ28XD,Zamek w Gościszowie,ok,,"Zamek w Gościszowie wzniesiono w XIII–XIV w. jako gotycką siedzibę rycerską, później wielokrotnie przebudowywaną. W XVI w. uzyskał formy renesansowe, a w kolejnych stuleciach był rozbudowywany jako rezydencja mieszkalna. Założenie obejmowało wieloskrzydłową zabudowę z dziedzińcem, wieżą i elementami obronnymi. Po 1945 r. obiekt został zdewastowany i popadł w ruinę. Obecnie zachowały się rozległe fragmenty murów i części dawnej zabudowy zamkowej.",449,,,
K01.30.10.GCHT1N,Zamek w Gniewie,ok,,"Zamek w Gniewie wzniesiono pod koniec XIII i na początku XIV w. jako gotycką warownię krzyżacką i siedzibę komtura. Ma regularny, czworoboczny układ z wewnętrznym dziedzińcem, czterema skrzydłami, narożnymi wieżami oraz rozbudowanym systemem obronnym. W kolejnych stuleciach był przebudowywany i adaptowany do nowych funkcji. Obecnie jest dobrze zachowany, odrestaurowany i pełni funkcje muzealne, hotelowe oraz turystyczne.",424,hotel,,
K01.30.10.74K8HH,Stary Zamek w Żywcu,ok,,"Stary Zamek w Żywcu powstał w XV w. jako gotycka siedziba Komorowskich, a w XVI w. został przebudowany w renesansową rezydencję z arkadowym dziedzińcem. W kolejnych stuleciach był wielokrotnie modernizowany, zachowując elementy gotyckie, renesansowe i późniejsze. Obecnie jest dobrze zachowany, mieści Muzeum Miejskie w Żywcu i jest udostępniony zwiedzającym.",359,,,
K01.20.10.U52UEK,Pałac w Krowiarkach,ok,zostawić,"Początki tutejszej rezydencji sięgają 1678 roku, kiedy rodzina Beess wzniosła pierwszy, drewniany dwór obronny. Obecny wygląd zawdzięcza przebudowie w latach 1852–1877 kiedy rozbudowano rezydencję i założono park, a pod koniec XIX w. dodano m.in. skrzydło secesyjne z elementami neorenesansu i neobaroku. Charakterystycznym elementem jest czteroboczna wieża z dekoracyjnym hełmem. Obecnie pałac jest niezamieszkany i stopniowo popada w ruinę.
",443,,,
